t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,1,1,0,0,1,1
240,1,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,1,0,0,0,0,0,0
360,0,0,0,0,1,1,0,0,0,0,0,0
420,0,0,0,0,1,1,0,0,0,0,0,0
480,0,0,0,0,0,1,0,0,0,1,0,0
540,0,0,1,1,0,1,0,0,0,0,0,0
600,0,0,0,1,0,0,0,0,0,1,0,0
660,0,0,1,1,1,1,0,0,0,1,0,0
720,0,0,0,0,0,0,0,0,0,1,0,0
780,0,0,1,1,0,0,0,0,1,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,1,0,0,0,1,0,0
960,2,1,0,0,0,0,0,0,0,1,0,0
1020,0,0,0,0,0,0,0,0,0,0,0,0
1080,3,1,0,0,0,0,0,0,0,0,0,0
1140,1,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0,1,1
1320,0,0,0,0,0,0,0,0,0,0,0,0
1380,0,0,1,1,0,0,1,1,0,0,1,1
1440,1,0,0,0,0,0,0,0,0,0,0,0
1500,2,0,0,0,0,0,0,0,0,0,0,0
1560,0,1,0,0,1,1,0,0,1,0,0,0
1620,1,1,0,0,1,1,0,0,0,1,0,0
1680,1,2,0,0,0,0,0,0,0,0,0,0
1740,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0
1860,0,0,1,1,0,0,1,1,0,0,0,0
1920,0,0,0,0,0,0,0,1,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,1,1
2040,1,0,0,0,0,0,1,1,0,1,0,0
2100,1,0,0,0,0,0,1,1,0,0,1,1
2160,0,0,0,0,0,0,0,0,0,0,0,0
2220,0,0,1,1,0,0,0,0,0,1,0,0
2280,0,0,0,0,0,0,0,0,0,1,0,0
2340,0,0,0,0,0,0,0,0,0,3,0,0
2400,1,0,0,0,0,0,0,0,1,3,0,0
2460,1,3,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,0,0
2580,0,0,1,1,0,0,1,1,0,0,1,0
2640,0,0,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0,0,2,0,0
2820,1,2,0,0,1,0,0,0,0,2,0,0
2880,0,0,0,0,0,0,0,0,2,3,0,0
2940,0,0,1,1,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0
3060,1,0,0,0,0,0,1,1,0,0,0,0
3120,0,0,0,0,0,0,0,0,0,1,0,0
3180,1,0,0,0,0,0,0,0,0,1,0,0
3240,0,0,0,0,1,0,0,0,0,0,0,0
3300,0,0,0,0,3,2,0,0,0,0,1,1
3360,0,0,0,0,2,5,0,0,0,0,0,0
3420,0,0,0,0,1,0,0,0,0,2,0,0
3480,0,0,0,0,1,0,0,0,0,3,0,0
3540,0,0,0,0,0,0,0,0,0,3,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0
3660,0,0,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,1,0,0,0
