t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0
180,2,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,6,1,0,0
360,2,0,0,0,0,1,0,0,0,0,0,0
420,0,0,0,0,3,1,0,0,0,0,0,0
480,0,0,0,2,0,0,0,0,0,0,1,0
540,1,1,0,0,0,0,0,0,0,0,2,0
600,0,0,0,0,0,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0,0,3,1,0,0
720,0,0,1,1,0,0,1,1,4,0,0,0
780,2,0,0,0,1,1,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,2,0
900,0,0,1,0,0,0,1,0,0,0,0,0
960,1,0,0,0,1,0,0,0,0,0,0,1
1020,3,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,1,1,0,0,0,0,2,0,0,0
1140,0,0,0,0,0,1,0,0,0,0,0,0
1200,1,0,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0,1,0
1320,1,0,0,0,0,0,0,0,0,0,0,0
1380,2,0,0,0,1,1,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,1,1,0,0
1500,0,0,1,1,0,0,1,1,6,0,0,0
1560,1,0,0,0,1,1,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,1,0,0,1,0,0,0,1,0
1740,0,1,0,0,0,0,0,0,0,0,0,0
1800,3,0,0,0,0,0,0,0,1,0,0,0
1860,0,0,0,0,0,0,0,0,0,0,0,0
1920,1,1,0,0,1,1,0,0,0,0,1,0
1980,0,1,0,0,0,7,0,0,0,0,1,1
2040,0,0,0,0,0,0,0,0,0,0,0,1
2100,0,0,0,0,0,1,0,0,0,0,0,0
2160,1,1,0,0,0,2,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0,0,0,0,0
2280,0,0,2,1,0,0,1,1,0,0,0,0
2340,1,0,0,0,0,1,0,0,0,2,0,0
2400,0,0,0,0,0,0,0,0,2,1,0,0
2460,0,0,1,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,4,0,0,0,0,0,0
2580,0,0,0,0,0,4,0,0,0,0,0,1
2640,0,0,0,0,0,0,0,0,0,0,0,1
2700,0,0,0,0,0,1,0,0,0,0,1,0
2760,1,0,0,0,0,3,0,0,0,0,0,0
2820,0,0,0,0,0,0,0,0,0,1,0,0
2880,1,0,0,0,0,0,0,0,0,0,0,0
2940,2,1,0,0,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0,2,3,0,0
3060,0,0,1,1,0,0,1,1,0,0,0,0
3120,1,1,0,0,0,4,0,0,0,0,0,0
3180,0,0,1,0,0,0,0,0,0,0,0,1
3240,0,0,1,0,0,0,0,1,0,0,1,1
3300,0,0,0,0,0,0,0,0,0,0,0,0
3360,1,0,0,0,0,1,0,0,0,0,0,0
3420,0,0,0,0,0,0,0,0,0,0,1,1
3480,0,0,1,1,0,0,0,0,0,1,0,0
3540,1,1,0,0,0,0,0,0,0,1,0,0
3600,0,0,0,0,0,0,0,0,2,3,0,0
3660,0,0,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0,0,0
