t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1,0,0,1,1,0,0,0,0
180,0,0,0,0,0,0,0,0,1,0,0,0
240,0,0,0,1,1,0,0,0,0,0,1,0
300,0,0,1,0,2,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0,0,2,0,0,0
420,0,0,0,0,2,0,0,0,2,0,0,0
480,0,0,0,0,4,0,0,0,0,0,1,0
540,0,0,0,2,0,0,0,0,0,0,0,0
600,0,0,0,0,1,0,0,0,0,0,0,0
660,0,1,0,0,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,1,0,0,0,0,0
780,2,2,0,0,0,0,0,0,1,0,0,0
840,0,0,1,1,0,0,1,1,0,0,0,0
900,0,0,1,0,0,0,1,0,5,0,0,0
960,0,0,0,0,1,1,0,0,2,0,0,0
1020,2,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0,2,0
1140,3,0,0,0,2,1,0,0,2,0,0,0
1200,0,0,0,0,2,0,0,0,0,0,0,0
1260,1,0,0,0,0,0,1,0,0,0,0,0
1320,1,0,0,0,0,0,0,0,0,0,1,0
1380,2,0,0,1,0,0,0,0,0,0,0,0
1440,0,0,1,1,0,0,0,1,0,0,1,0
1500,0,1,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,1,1,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,1,0,0,0,0
1680,0,0,0,1,0,0,0,0,2,0,0,0
1740,0,0,0,1,0,0,0,0,0,0,0,0
1800,1,1,0,0,1,1,0,0,0,0,0,0
1860,0,0,0,0,1,2,0,0,0,0,1,1
1920,1,0,0,0,2,3,0,0,0,0,1,0
1980,0,0,1,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,1,2
2100,0,2,0,0,0,0,0,0,0,0,0,0
2160,0,0,0,1,1,2,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0,0,0,1,1
2280,0,0,0,0,0,0,0,0,0,0,0,1
2340,0,0,1,0,0,0,1,0,1,3,0,0
2400,0,0,0,1,0,0,1,0,0,0,1,2
2460,0,0,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,1,1
2580,0,2,0,0,0,0,1,0,0,0,1,2
2640,0,0,1,0,0,0,0,0,0,0,0,1
2700,0,0,0,0,0,0,0,0,0,0,0,0
2760,0,2,0,0,0,0,0,1,0,0,1,1
2820,0,0,0,0,0,1,0,0,0,0,1,0
2880,0,0,1,0,0,0,0,0,0,2,0,0
2940,0,0,0,0,0,0,1,1,0,0,1,2
3000,0,0,1,0,0,0,0,0,0,0,0,1
3060,0,0,0,0,0,0,1,1,0,0,0,0
3120,0,1,0,0,0,0,0,1,0,0,1,1
3180,0,0,1,0,0,2,0,0,0,0,0,2
3240,0,0,0,0,0,2,0,0,0,2,0,0
3300,0,1,0,0,0,0,1,1,0,0,1,2
3360,0,0,0,0,0,0,0,0,0,0,0,0
3420,0,1,0,0,0,2,0,0,0,0,1,0
3480,0,0,1,0,0,0,0,0,0,0,1,2
3540,0,0,0,0,0,0,0,0,0,0,0,2
3600,0,0,1,0,0,0,0,0,0,1,0,0
3660,0,0,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0,0,0
